char,jp
雅豪優郡,
錶肉,biu1 juk2
森之谷,
橈動脈,naau4 dung6 mak6
𢳂羹,
玩吖,
環頸鴴,waan4 geng2 hang4
耍盲雞,saa2 maang4 gai1
陳露,can4 lou6
總覽,zung2 laam5
綦江縣,kei4 gong1 jyun6
新葉菸酒,
富暉,
承前啓後,sing4 cin4 kai2 hau6
翔隆地產,
扁形動物,bin2 jing4 dung6 mat6
流目,lau4 muk6
飛躍名鞋,
你話乜話,
淺耕,cin2 gaang1
進階教室,
一命歸西,jat1 ming6 gwai1 sai1
口吸盤,hau2 kap1 pun4
蛇山頂,
威米服飾,
老牛山,
鴻發家私,
餓過肌,ngo6 gwo3 gei1
家勝棋牌,
陽曲,joeng4 kuk1
楊氏五金,
葡提子乾,pou4 tai4 zi2 gon1
金橋僱傭,
南通鋁材,
佢想轉工,
傳輸設備,cyun4 syu1 cit3 bei6
好客居,
散熱貼,
洽水塘,
昕銘士多,
包藏禍心,baau1 cong4 wo6 sam1
頰窩,haap3 wo1
幡然改圖,faan1 jin4 goi2 tou4
厚街瀨粉,
趕腳,gon2 goek3
東湖桑拿,
帕提亞人,paak3 tai4 aa3 jan4
裝飯,zong1 faan6
狗膽包天,gau2 daam2 baau1 tin1
捧到天上,pung2 dou3 tin1 soeng6
東龍堡,
揩到甩轆,haai1 dou3 lat1 luk1
仙露莎,
逸龍廣告,
食字邊,sik6 zi6 bin1
同胞兄妹,tung4 baau1 hing1 mui6
宇航國際,
一枕黃粱,jat1 zam2 wong4 loeng4
豬孻,zyu1 laai1
創邦地產,
啤灰,be1 fui1
寄贈,gei3 zang6
灰爐石級,
雲寶音像,
龍安區,lung4 on1 keoi1
棘輪,gik1 leon4
名籤,ming4 cim1
凱森木業,
燒烤汁,
呠呠車,but1 but1 ce1
美金布藝,
雨微,
水貝,
匿實,
焯公亭,
憷頭,co2 tau4
鍾城地産,
秋衣,cau1 ji1
奔迪鞋業,
黃秋葵,wong4 cau1 kwai4
樂豐音響,
長嶺,coeng4 ling5
得田地產,
環滘村委,
勝飛通訊,
牙美,
久商,
九龍閩南,
津美涮,
皇龍,
擗炮,pek3 paau3
友情燒烤,
萬通石材,
出嚟襯,ceot1 lai4 can3
過日晨,gwo3 jat6 san4
承商,sing4 soeng1
大九律,
不知死活,bat1 zi1 sei2 wut6
飛星體育,
長興工藝,
逢江口,
強迫觀念,koeng4 bik1 gun1 nim6
尚飲茶堂,
翡翠別墅,
廣安福永,
掃灰水,sou3 fui1 seoi2
不同機器,
骨鯁之臣,gwat1 gang2 zi1 san4
海珠區委,
普光明寺,
一肖,
校鐘,gaau3 zung1
風油精,fung1 jau4 zing1
烏江魚坊,
茶陵縣,caa4 ling4 jyun6
鰐魚頭,ngok6 jyu4 tau4
永方電子,
自咎,zi6 gau3
航次,hong4 ci3
景富明珠,
彩屏,
愛耳日,oi3 ji5 jat6
和成世紀,
圍涌,
切匯,
嚡嚡聲,haai4 haai2 seng1
基仁閣,
田忌賽馬,tin4 gei6 coi3 maa5
益斯圖,
青青茗茶,
實用階段,
大輋嶺墩,
幻燈機,waan6 dang1 gei1
癩皮病,laai3 pei4 beng6
男人世界,
鸞翔鳳翥,lyun4 coeng4 fung6 zyu3
九盛茗茶,
羅芳路口,
阿努比斯,
難友,naan6 jau5
英山,jing1 saan1
怡茗軒,
盈豐網租,
煤焦油,mui4 ziu1 jau4
倉黃,cong1 wong4
糖酯,tong4 zi2
正果蘭溪,
飛行艇,fei1 hang4 teng5
